case,requested_overlap_ratio,actual_overlap_ratio,trim_fraction,fraction_to_overlap_ratio,scan_points,overlap_points,correspondences_used,angle_deg,translation_scale,median_point_spacing,normalized_final_objective_rmse,normalized_final_all_nearest_neighbor_rmse,normalized_overlap_correspondence_rmse,rotation_error_deg,normalized_translation_error,retained_source_overlap_ratio,overlap_source_retention,correct_match_precision,correct_match_recall,normalized_median_retained_residual,normalized_median_rejected_residual,iterations,converged,recovered
case_02,0.8,0.8000959923206143,0.7,0.8748950209958007,4167,3334,2917,2.0,0.5,4.929224061400307,1.374662655792077e-13,6.281457001150376,1.5312061876177285e-13,2.9575586669421963e-06,9.469451974897114e-14,1.0,0.8749250149970006,1.0,0.8749250149970006,1.2893393584137763e-13,6.250342506558269,10,True,True
case_02,0.8,0.8000959923206143,0.8,0.999880023995201,4167,3334,3334,2.0,0.5,4.929224061400307,1.0760839097916876e-13,6.281457001150479,1.0760839097916876e-13,1.2074182697257333e-06,1.1461219746131496e-13,1.0,1.0,1.0,1.0,1.0670685651195542e-13,12.07670341885622,8,True,True
case_02,0.8,0.8000959923206143,0.9,1.124865026994601,4167,3334,3751,2.0,0.5,4.929224061400307,1.1267636564697094,3.096045562803748,9.925041654034917,1.3337716771425339,8.47478277514958,0.8880298587043455,0.9991001799640072,0.0,0.0,0.9355487035558206,8.549636995857167,80,False,False
case_02,0.8,0.8000959923206143,1.0,1.2498500299940012,4167,3334,4167,2.0,0.5,4.929224061400307,1.15584444201761,1.15584444201761,21.65904509873318,0.11127063974910555,21.58179759644989,0.8000959923206143,1.0,0.0,0.0,0.9501092163321729,,80,False,False
case_03,0.6,0.5998319798375805,0.4,0.6668534080298787,3571,2142,1429,2.0,0.5,4.929224061400307,6.335810374597436e-14,15.106915951043941,8.091940007379976e-14,0.0,5.824895171797918e-14,1.0,0.6671335200746965,1.0,0.6671335200746965,6.237490152780263e-14,10.753636079027466,10,True,True
case_03,0.6,0.5998319798375805,0.5,0.8335667600373483,3571,2142,1786,2.0,0.5,4.929224061400307,8.101516759097754e-14,15.106915951043907,9.857796774095669e-14,2.4148365394514667e-06,1.4897611638002078e-13,1.0,0.8338001867413632,1.0,0.8338001867413632,6.72966106253963e-14,16.27515901397116,9,True,True
case_03,0.6,0.5998319798375805,0.6,1.000280112044818,3571,2142,2143,2.0,0.5,4.929224061400307,0.010282109371679988,15.106908703123953,0.0002618978188275758,0.00017528785957439906,0.00022718253723642544,0.9995333644423705,1.0,0.9995333644423705,1.0,0.00025920725759128865,20.65602865565238,8,True,True
case_03,0.6,0.5998319798375805,0.7,1.1669934640522874,3571,2142,2500,2.0,0.5,4.929224061400307,1.0941615155441906,10.357364250718769,9.407931571797256,1.8623155604242445,7.395676400373029,0.8524,0.9948646125116714,0.0,0.0,0.9040111077031553,16.599503804005433,80,False,False
case_03,0.6,0.5998319798375805,0.8,1.3337068160597574,3571,2142,2857,2.0,0.5,4.929224061400307,1.1060706118556638,5.892985391635104,19.621578281699318,1.8268805096550922,17.603097788965886,0.7416870843542177,0.9892623716153128,0.0,0.0,0.9430255686748237,11.40053235511093,80,False,False
case_03,0.6,0.5998319798375805,0.9,1.500420168067227,3571,2142,3214,2.0,0.5,4.929224061400307,1.1224122251287856,2.67920963311781,29.27880240592123,1.7229892623308483,27.23824212338837,0.6630367143746111,0.9948646125116714,0.0,0.0,0.938987731051923,7.3028233456207134,80,False,False
case_03,0.6,0.5998319798375805,1.0,1.6671335200746966,3571,2142,3571,2.0,0.5,4.929224061400307,1.164544918344366,1.164544918344366,38.88224429773114,0.19807787946712974,38.77649549542259,0.5998319798375805,1.0,0.0,0.0,0.9558240179352494,,80,False,False
case_04,0.4,0.4,0.4,1.0,3125,1250,1250,2.0,0.5,4.929224061400307,6.171674095559958e-14,23.852828560940758,6.171674095559958e-14,1.7075472925031877e-06,2.6567545125354044e-14,1.0,1.0,1.0,1.0,4.755432387475226e-14,27.043026877938853,8,True,True
case_04,0.4,0.4,0.5,1.25,3125,1250,1563,2.0,0.5,4.929224061400307,1.071582971804152,18.70287121621234,8.36933399612635,3.0708877628507696,5.727583593021863,0.7792706333973128,0.9744,0.0,0.0,0.9136917882384264,23.025414813256994,80,False,False
case_04,0.4,0.4,0.6,1.4999999999999998,3125,1250,1875,2.0,0.5,4.929224061400307,1.0754710291311114,13.457531278468842,17.0823018741691,1.183961245601288,15.799173789861976,0.6474666666666666,0.9712,0.0,0.0,0.9024261820164364,18.23287680691933,80,False,False
case_04,0.4,0.4,0.7,1.7499999999999998,3125,1250,2188,2.0,0.5,4.929224061400307,1.1133852042079524,9.074586170342885,25.680318643847755,2.741010161025973,22.60849348252635,0.5658135283363802,0.9904,0.0,0.0,0.9511747214435852,14.314332971289007,80,False,False
case_04,0.4,0.4,0.8,2.0,3125,1250,2500,2.0,0.5,4.929224061400307,1.1182554187510056,5.426258670859914,33.92276273423567,0.7873072311520957,33.02825309808871,0.496,0.992,0.0,0.0,0.9629025559298814,10.758470289412042,80,False,False
case_04,0.4,0.4,0.9,2.25,3125,1250,2813,2.0,0.5,4.929224061400307,1.1101890424083671,2.376297036300566,43.09107767707433,0.40554816050882025,42.69406752991324,0.44223249200142195,0.9952,0.0,0.0,0.9338199716727531,6.034123816913136,80,False,False
case_04,0.4,0.4,1.0,2.5,3125,1250,3125,2.0,0.5,4.929224061400307,1.177027446727345,1.177027446727345,51.29036148154246,0.3761969180429271,51.636145318568495,0.4,1.0,0.0,0.0,0.9604638753621076,,80,False,False
